algorithm,seed,final_reward,best_reward,final_ep_length,n_evals
DDPG,0,9761.42973832,11719.95185112,1000.0,100
DDPG,1,11290.176440700003,11376.42669864,1000.0,100
DDPG,2,12567.00291774,12773.6969474,1000.0,100
PPO,0,1480.2918797773405,1447.0960598740467,1000.0,25
PPO,1,1396.824993422418,1387.6784504104137,1000.0,25
PPO,2,1338.2889656560903,1338.8981767285572,1000.0,25
SAC,0,11455.421677487762,11636.842320252377,1000.0,100
SAC,1,11417.087194942636,11489.483472503342,1000.0,100
SAC,2,11233.533844379777,11391.327954083608,1000.0,100
TD3,0,11151.817617130466,11222.707022032737,1000.0,100
TD3,1,10687.678339750018,10970.142046367788,1000.0,100
TD3,2,10589.859114706736,10729.952645713893,1000.0,100
